Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-15,09:23:59.800,8,10,107,-6,1024,-205,-231,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:00.280,8,10,107,-6,1024,-205,-232,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:00.780,8,9,107,-6,1024,-205,-231,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:01.290,8,9,107,-6,1024,-205,-232,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:01.790,8,9,108,-6,1024,-205,-232,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:02.290,8,9,107,-6,1024,-205,-232,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:02.790,8,9,107,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:03.290,8,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:03.790,8,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2019-12-15,09:24:04.290,8,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:04.790,8,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:05.290,6,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:05.790,8,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:06.290,6,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:06.790,6,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:07.290,6,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:07.790,6,9,108,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:08.290,6,9,108,-6,1024,-205,-233,1,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:08.790,521,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:09.290,6,9,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:09.790,6,9,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:10.290,6,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:10.790,6,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:11.290,5,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:11.790,6,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:12.290,6,8,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:12.790,6,8,-1024,-6,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:13.290,6,8,-1024,-4,1024,-205,-233,1,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:13.790,6,8,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:14.290,5,8,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:14.790,5,8,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
2019-12-15,09:24:15.290,5,8,-1024,-4,1024,-205,-233,0,-1024,-1,-1,0,-1,-1,-1,1,-1,0x0000000000000000,7.5
