Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-09,20:52:13.730,3,5,-152,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,0.0
2020-05-09,20:52:13.990,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.090,4,5,-152,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.190,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.290,4,5,-152,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.400,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.500,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.600,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.700,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.800,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:14.900,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.000,4,5,-152,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.100,4,5,-152,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.200,4,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.300,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.400,4,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.500,3,5,-152,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.600,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.700,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.800,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:15.900,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.000,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.100,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.200,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.300,3,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.400,4,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.500,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.600,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.700,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.800,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:16.900,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.000,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.100,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.200,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.300,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.400,4,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.500,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.600,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.700,3,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.800,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:17.900,3,5,-151,-4,-1024,614,1024,0,0,0,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:18.000,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:18.100,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
2020-05-09,20:52:18.200,3,5,-151,-4,-1024,614,1024,0,0,-1,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.3
