Date,Time,RSSI(dB),RxBt(V),Volt(V),Amps(A),RPM(rpm),FET(@C),Cap(@C),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-25,22:54:34.190,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:18.830,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:18.920,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.020,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.120,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.220,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.320,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.420,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,-1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.520,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,0,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.620,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.720,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,1,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.820,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:19.920,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:20.020,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,1,980,-205,-22,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:55:20.120,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
