Date,Time,RSSI(dB),RxBt(V),A2(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-25,22:51:31.870,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:31.940,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.040,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.140,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.270,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.370,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.470,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.570,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.670,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.770,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:32.870,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:32.970,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.070,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.170,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.280,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.380,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.480,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.580,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.680,0,0.0,0.0,0,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.780,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-07-25,22:51:33.880,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:33.980,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.080,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.180,0,0.0,0.0,0,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.280,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.380,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.480,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.580,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.680,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.780,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.880,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:34.980,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.080,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.180,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.280,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.380,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.480,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.580,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.680,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.780,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.880,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:35.980,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.080,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.180,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.280,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.380,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.480,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.580,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.680,0,0.0,0.0,0,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.780,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.880,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:36.980,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.080,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.180,0,0.0,0.0,0,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.280,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.380,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.480,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.580,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.680,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.780,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.880,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:37.980,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.080,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.180,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.280,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.380,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.480,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.580,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.680,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.780,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.880,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:38.980,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.080,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.180,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.280,0,0.0,0.0,0,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.380,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.480,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.580,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.680,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.780,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.880,0,0.0,0.0,0,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:39.980,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.080,0,0.0,0.0,1,2,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.180,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.280,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.380,0,0.0,0.0,0,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.480,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.580,0,0.0,0.0,0,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.680,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.780,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.880,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:40.980,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.080,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.180,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.280,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.380,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.480,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.620,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.720,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.820,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:41.920,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.020,0,0.0,0.0,0,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.120,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.220,0,0.0,0.0,0,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.320,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.420,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.520,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.620,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.720,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.820,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:42.920,0,0.0,0.0,0,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.020,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.120,0,0.0,0.0,1,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.220,0,0.0,0.0,0,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.320,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.420,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.520,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.620,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.720,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.820,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:43.920,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.020,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.120,0,0.0,0.0,1,3,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.220,0,0.0,0.0,0,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.320,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.420,0,0.0,0.0,0,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.520,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.620,0,0.0,0.0,1,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.720,0,0.0,0.0,0,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.820,0,0.0,0.0,0,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:44.920,0,0.0,0.0,0,3,-1024,-1,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:45.020,0,0.0,0.0,1,3,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:45.120,0,0.0,0.0,1,3,-1024,0,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:45.220,0,0.0,0.0,1,2,-1024,-1,1024,-205,612,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:45.320,0,0.0,0.0,1,2,-1024,-1,1024,-205,611,0,0,998,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
2020-07-25,22:51:45.420,0,0.0,0.0,0,2,-1024,0,1024,-205,611,0,0,1000,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
