Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:06:30.090,1,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:30.550,1,2,-293,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:31.040,1,1,-294,1,1024,204,277,0,-1,-1,-1,1,0,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:31.540,1,2,-293,1,1024,204,277,-1,-1,-1,-1,1,0,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:32.040,1,2,-294,1,1024,204,277,0,-1,-1,-1,1,0,-1,1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:32.540,0,1,-294,1,1024,204,277,-1,-1,-1,-1,1,0,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:33.040,1,2,-293,1,1024,204,277,0,-1,1,0,1,0,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:33.540,1,2,-293,1,1024,204,277,-1,-1,1,1,0,1,-1,-1,1,-1,0x0000000000000000,8.2
1970-01-01,00:06:34.040,1,2,-293,1,1024,204,277,-1,-1,1,0,1,0,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:34.540,1,2,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:35.040,1,2,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:35.540,1,2,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:36.040,1,2,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:36.540,1,2,-294,1,1024,204,277,0,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:37.040,1,1,-293,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
1970-01-01,00:06:37.540,1,2,-294,1,1024,204,277,-1,-1,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.2
