Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-24,07:11:13.160,-1,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.240,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.340,-1,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.440,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.540,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.640,-1,1,-1024,1,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.740,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.840,-1,1,-1024,1,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:13.940,-1,1,-1024,1,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.040,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.140,-1,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.240,-2,1,-1024,1,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.340,-4,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.440,-44,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.540,-1,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.640,0,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.740,0,1,-1024,1,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.840,0,1,-998,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:14.940,-2,1,39,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.040,1,1,1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.140,40,1,1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.240,-37,1,1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.340,-8,1,252,1,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.440,-59,1,-564,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.540,-600,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.640,-1024,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.740,-818,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.840,768,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:15.940,1024,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.040,1024,4,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.140,108,6,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.240,-945,6,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.340,-1024,6,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.440,-1016,4,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.540,98,9,-1024,-1,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.640,560,12,-1024,-1,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.740,247,10,-1024,-1,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.840,-1,11,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:16.940,-1,5,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:17.040,-1,2,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:17.140,0,2,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:17.240,-21,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:17.340,-679,1,-1024,0,1024,-615,330,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
2020-02-24,07:11:17.440,-1024,1,-1024,0,1024,-615,329,0,0,-1024,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.8
