Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-08-06,18:36:58.340,0,0.0,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,-1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:36:58.440,0,0.0,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,-1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:36:58.540,93,7.7,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,-1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:36:58.640,93,7.7,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,0,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:36:58.740,93,7.7,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:36:58.840,93,7.7,0,0,2,-1024,0,1024,614,721,0,0,-2,-4,0,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:31.950,96,7.6,940,-1,1,146,0,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.040,96,7.6,940,-1,1,146,1,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.140,96,7.6,995,-1,1,146,1,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.240,96,7.6,995,-1,1,146,0,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.340,96,7.6,980,-1,1,146,1,1024,614,105,0,0,-388,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.440,96,7.6,1028,-1,1,146,0,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:32.540,96,7.6,1028,-1,1,146,1,1024,614,105,0,0,-388,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:33.900,95,7.6,978,-1,1,146,1,1024,614,104,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2020-08-06,18:38:34.000,96,7.6,1012,-1,1,146,1,1024,614,105,0,0,-386,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
