Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-21,18:32:25.260,1,3,-1024,-2,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:25.340,1,3,-1024,-2,1024,-1024,-3,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:25.440,1,3,-1024,-2,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:25.540,1,3,-1024,-2,1024,-1024,-4,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:25.640,1,3,-1024,-2,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:25.740,1,3,-1024,-1,1024,-1024,-4,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.000,1,3,-1024,-2,1024,-1024,-4,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.090,1,3,-1024,-2,1024,-1024,-3,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.190,1,3,-1024,-2,1024,-1024,-3,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.290,1,3,-1024,-2,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.390,1,3,-1024,-2,1024,-1024,-4,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.490,1,3,-1024,-1,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.590,1,3,-1024,-1,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.690,1,3,-1024,-1,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.790,1,3,-1024,-1,1024,-1024,-3,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.890,1,3,-1024,-1,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:26.990,1,3,-1024,-1,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.090,1,3,-1024,-2,1024,-1024,-4,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.190,1,3,-1024,-2,1024,-1024,-3,0,0,-1,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.290,1,3,-1024,-2,1024,-1024,-3,0,0,0,0,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.390,1,3,-1024,-2,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.490,1,3,-1024,-1,1024,-1024,-4,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.590,1,3,-1024,-2,1024,-1024,-3,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:27.910,1,2,-1024,-2,1024,-1024,-3,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-04-21,18:32:28.000,1,3,-1024,-2,1024,-1024,-4,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
