Date,Time,A2(V),RSSI(dB),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-23,08:29:14.230,10.9,80,4.9,1,1,-316,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.320,10.9,78,4.9,0,1,-316,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.420,10.9,78,4.9,0,1,-266,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.520,10.9,78,4.9,-1,1,-163,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.630,10.9,78,4.9,0,1,-109,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.730,10.9,78,4.9,0,1,-108,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.830,10.9,80,4.9,0,1,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:14.930,10.9,80,4.9,0,1,-107,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.030,10.9,80,4.9,0,1,-107,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.130,10.9,80,4.9,0,1,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.230,10.9,78,4.9,0,1,-107,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.330,10.9,78,4.9,0,1,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.430,10.9,78,4.9,0,0,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.530,10.9,78,4.9,0,0,-107,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.630,10.9,76,4.9,0,1,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.730,10.9,76,4.9,0,1,-106,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.830,10.9,76,4.9,0,1,-106,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:15.930,10.9,76,4.9,0,17,-107,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.030,10.9,76,4.9,0,2,-107,-117,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.130,10.9,79,4.9,0,1,-107,-65,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.230,10.9,79,4.9,0,1,-106,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.330,10.9,79,4.9,0,1,-107,3,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.430,10.9,79,4.9,0,1,-107,2,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.530,10.9,77,4.9,0,1,-107,1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.630,10.9,77,4.9,0,1,-107,1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.730,10.9,77,4.9,0,1,-107,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.830,10.9,77,4.9,0,0,-107,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:16.930,10.9,77,4.9,1,0,-64,-13,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.030,10.9,77,4.9,0,-15,0,-18,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.130,10.9,77,4.9,0,-15,4,-35,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.230,10.9,77,4.9,0,-2,7,-37,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.330,10.9,77,4.9,0,-1,9,-36,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.430,10.9,72,4.9,0,0,10,-18,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.530,10.9,72,4.9,0,1,10,-3,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.630,10.9,72,4.9,0,1,24,-2,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.730,10.9,72,4.9,109,1,54,-1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.830,10.9,78,4.9,145,1,55,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:17.930,10.9,78,4.9,2,1,56,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.030,10.9,78,4.9,1,1,56,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.130,10.9,78,4.9,0,1,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.230,10.9,78,4.9,0,1,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.330,10.9,82,4.9,0,0,55,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.430,10.9,82,4.9,0,1,55,0,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.530,10.9,82,4.9,0,1,56,0,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.630,10.9,82,4.9,0,1,56,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.730,10.9,78,4.9,0,0,56,-1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.830,10.9,78,4.9,0,0,56,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:18.930,10.9,78,4.9,1,1,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.030,10.9,78,4.9,1,0,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.130,10.9,78,4.9,1,1,56,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.230,10.9,77,4.9,0,0,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.330,10.9,77,4.9,0,0,56,0,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.430,10.9,77,4.9,1,0,56,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.530,10.9,77,4.9,1,0,86,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.630,10.9,77,4.9,0,-17,138,0,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.730,10.9,77,4.9,0,-33,145,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.830,10.9,77,4.9,0,-20,148,-1,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:19.930,10.9,77,4.9,0,-13,150,-2,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.030,10.9,77,4.9,0,-10,152,-3,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.130,10.9,77,4.9,0,-4,178,-4,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.230,10.9,77,4.9,0,-1,191,-4,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.330,10.9,77,4.9,0,0,246,-2,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.430,10.9,77,4.9,0,1,303,-1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.530,10.9,78,4.9,0,1,343,-1,1024,-205,1024,0,0,-2,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.630,10.9,78,4.9,0,0,356,0,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.730,10.9,78,4.9,1,-1,397,34,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-07-23,08:29:20.830,10.9,78,4.9,1,-15,413,109,1024,-205,1024,0,0,-1,-564,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
