Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-28,09:04:18.080,104,24.90,0.3,0,-2,4,-1024,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.190,104,24.90,0.3,0,2,4,-562,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.300,104,24.90,0.3,0,30,4,207,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.420,104,24.90,0.3,122,-22,4,-43,-2,1024,-1024,523,0,0,1,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.530,102,24.90,0.3,122,2,4,-133,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.650,102,24.90,0.3,107,1,4,-133,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.760,102,24.90,0.0,87,2,4,-68,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:18.880,102,24.90,0.0,87,-12,4,23,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.000,103,24.90,1.5,71,0,4,-76,-21,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.110,103,24.90,1.0,19,1,4,-95,-4,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.220,103,24.90,1.0,19,2,4,-98,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.340,107,24.90,0.8,112,2,10,-101,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.460,107,24.90,0.9,165,2,6,-101,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.570,107,24.90,0.9,165,2,5,-101,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.680,107,24.90,0.6,200,14,4,-101,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.800,104,24.90,0.5,227,1,4,-101,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:19.920,104,24.90,0.5,227,2,25,-101,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.030,104,24.90,0.6,262,30,5,-101,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.150,104,24.90,0.6,294,-64,4,-42,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.260,104,24.90,0.8,294,-65,4,-39,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.380,104,24.90,0.8,327,-5,4,-37,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.490,104,24.90,0.7,357,-1,4,-36,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.610,104,24.90,0.8,357,1,4,-36,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.720,98,24.90,0.8,388,2,4,-36,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.840,98,24.90,1.0,419,2,2,-35,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:20.950,98,24.90,1.1,453,2,3,-35,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.070,98,24.90,1.1,453,2,3,-36,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.180,104,24.90,1.1,484,2,4,-35,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.300,104,24.90,1.2,518,2,4,0,-2,1024,-1024,523,0,0,1,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.420,104,24.90,1.2,518,2,4,0,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.530,101,24.90,1.2,548,2,4,0,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.640,101,24.90,1.4,583,2,4,1,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.760,101,24.90,1.4,583,2,4,0,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.880,101,24.90,1.4,612,2,6,1,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:21.990,101,24.90,1.3,612,2,20,0,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.110,101,24.90,1.3,645,2,4,0,-3,1024,-1024,523,0,0,1,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.220,101,24.90,1.4,674,-11,4,0,-3,1024,-1024,523,0,0,1,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.340,101,24.90,1.7,707,-72,4,0,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.450,100,24.90,1.7,707,-1,4,0,-2,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.570,100,24.90,1.6,737,1,4,0,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.680,100,24.90,1.7,773,2,4,0,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.800,100,24.90,1.7,773,2,4,0,-3,1024,-1024,523,0,0,-1,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
2020-04-28,09:04:22.920,103,24.90,1.7,808,2,4,1,-3,1024,-1024,523,0,0,0,-977,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.3
