Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-07,16:10:13.600,101,7.8,0,4,6,-1024,-4,1024,-205,-19,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:10:14.090,95,7.8,0,4,6,-1024,-4,1024,-205,-19,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:40.520,92,8.0,0,3,5,-320,-3,1024,-205,209,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:41.010,98,8.0,0,8,5,-107,-3,1024,-205,209,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:41.510,91,8.0,0,3,5,-107,-3,1024,-205,209,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:42.010,92,8.0,14,3,5,-106,-3,1024,-205,209,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:42.510,90,8.0,46,3,5,-106,-3,1024,-205,209,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:43.010,87,8.0,101,3,5,-106,-3,1024,-205,266,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:43.510,88,8.0,166,3,5,-107,-3,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:44.010,91,8.0,249,4,32,-107,-3,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:44.510,90,8.0,345,3,5,-92,-3,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:45.010,89,8.0,465,4,35,-37,-6,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:45.510,88,8.0,559,3,-27,-26,-3,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
2019-12-07,16:20:46.010,87,8.0,678,4,6,-23,-3,1024,-205,270,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.7
