Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-10,13:05:13.130,91,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-02-10,13:05:13.640,87,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,932,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:14.140,91,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:14.640,84,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:15.140,90,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,932,-4,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:15.640,88,7.4,0,1,4,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:16.140,85,7.4,0,1,4,-1024,-1,789,1023,1024,0,0,932,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:16.640,84,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,931,-4,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2020-02-10,13:05:17.140,90,7.4,0,1,4,-1024,-1,789,1023,1024,0,0,932,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.8
2020-02-10,13:05:17.640,88,7.4,0,1,4,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.8
2020-02-10,13:05:18.140,91,7.4,33,1,4,-1024,-1,789,1023,1024,0,0,931,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.8
2020-02-10,13:05:18.640,93,7.4,0,1,3,-1024,-1,789,1023,1024,0,0,932,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.8
