Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-25,09:29:54.870,1,3,-1024,-2,-1024,-1024,246,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:54.950,1,3,-1024,-2,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.050,2,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.150,2,3,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.250,1,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.350,2,3,-1024,-1,-1024,-1024,246,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.450,2,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.550,1,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.650,1,3,-1024,-1,-1024,-1024,246,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.750,1,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.850,1,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:55.950,1,3,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.050,1,3,-1024,-1,-1024,-1024,246,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.150,1,3,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.250,1,2,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.350,1,3,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.450,1,3,-1024,-1,-1024,-1024,246,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.550,1,2,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.650,1,2,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.750,1,3,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.850,1,3,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:56.950,1,2,-1024,-1,-1024,-1024,247,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.050,1,2,-1024,-1,-1024,-1024,247,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.150,1,3,-1024,-1,-1024,-1024,247,0,0,1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.250,1,3,-1024,-1,-1024,-1024,247,0,0,10,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.350,1,2,-1024,-1,-1024,-1024,246,0,0,101,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.450,1,3,-1024,-1,-1024,-1024,246,0,0,326,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.550,1,3,-1024,-1,-1024,-1024,246,0,0,537,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.650,1,2,-1024,-1,-1024,-1024,247,0,0,540,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
2020-04-25,09:29:57.750,1,2,-1024,-1,-1024,-1024,246,0,0,538,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.4
