Date,Time,RSSI(dB),RxBt(V),Curr(A),RPM(rpm),Tmp1(@C),RPM(rpm),RB1C(mAh),FET(@C),Cap(@C),mAh(mAh),RB2C(mAh),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-23,15:13:12.830,83,8.2,0.1,0,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:12.900,81,8.2,0.0,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.000,81,8.2,0.0,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.100,81,8.2,0.0,0,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.200,81,8.2,0.0,0,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.300,82,8.2,0.1,0,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.400,82,8.2,0.1,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.500,82,8.2,0.1,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.600,82,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.700,82,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.800,87,8.2,0.1,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:13.900,87,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.000,87,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,-1,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.100,87,8.2,0.3,0,26,0,2,0,0,0,0,45.60,-1,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.200,83,8.2,0.3,0,26,0,2,0,0,0,0,45.60,-1,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.300,83,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,-1,-1024,-1024,0,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.400,83,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.500,83,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.600,81,8.2,0.1,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.700,81,8.2,0.1,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.800,81,8.2,0.3,0,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:14.900,81,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,-1,-1024,-1024,0,0,0,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.000,81,8.2,0.4,0,26,0,2,0,0,0,0,45.60,0,2,-1024,-1,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.100,85,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.200,85,8.2,0.2,0,26,0,2,0,0,0,0,45.60,-1,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.300,85,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.400,85,8.2,0.3,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.500,81,8.2,0.0,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.600,81,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:15.700,81,8.2,0.2,0,26,0,2,0,0,0,0,45.60,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:15.810,81,8.2,0.2,0,26,0,2,0,0,0,0,45.50,4,2,-1024,-1,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:15.910,81,8.2,0.2,0,26,0,2,0,0,0,0,45.50,1,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.010,88,8.2,0.7,21,26,0,2,0,0,0,0,45.50,0,2,-1024,-1,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.110,88,8.2,0.6,76,26,0,2,0,0,0,0,45.50,0,2,-1024,-1,-1024,-1024,-1,0,0,0,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.210,88,8.2,0.6,76,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,-1,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.310,88,8.2,0.4,76,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.410,84,8.2,0.4,76,26,0,2,0,0,0,0,45.50,-1,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.5
2020-04-23,15:13:16.510,84,8.2,0.4,77,26,0,2,0,0,0,0,45.50,-15,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
2020-04-23,15:13:16.620,84,8.2,0.5,78,26,0,2,0,0,0,0,45.50,0,2,-1024,0,-1024,-1024,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.5
