Date,Time,RSSI(dB),RxBt(V),Amps(A),RPM(rpm),FET(@C),mAh(mAh),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-01,21:27:35.560,83,8.2,0.8,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:35.670,82,8.2,0.8,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:35.780,82,8.2,0.3,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:35.890,82,8.2,0.2,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.000,82,8.2,0.2,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.110,79,8.2,0.3,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.210,79,8.2,0.3,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.330,79,8.2,0.2,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.440,79,8.2,0.4,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.550,87,8.2,0.4,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.660,87,8.2,0.2,0,33,31,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.770,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.880,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:36.990,86,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.100,86,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.210,86,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.320,86,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.430,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-2,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.540,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.650,87,8.2,0.1,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.760,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.870,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:37.980,89,8.2,0.2,0,33,32,45.90,1,3,-1024,-2,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.100,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.210,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.310,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.420,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.540,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.650,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.760,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-2,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.870,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:38.980,89,8.2,0.4,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.090,89,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,1,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.200,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.310,87,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.420,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.530,87,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.640,90,8.2,0.2,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.750,90,8.2,0.2,0,33,32,45.90,1,3,-1024,-2,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.860,90,8.2,0.4,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:39.970,90,8.2,0.3,0,33,32,45.90,1,3,-1024,-2,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
2020-05-01,21:27:40.080,88,8.2,0.3,0,33,32,45.90,1,3,-1024,-1,1024,-1024,1024,0,0,0,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.0
