Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Volt(V),Amps(A),RPM(rpm),FET(@C),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-05-31,21:11:46.900,0,0.0,0,0.00,0.0,0,0,3,4,-1024,-7,948,-205,869,0,0,301,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:46.950,0,0.0,0,0.00,0.0,0,0,2,4,-1024,-6,948,-205,869,0,0,320,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.050,0,0.0,0,0.00,0.0,0,0,3,4,-1024,-3,948,-205,869,0,0,758,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.150,0,0.0,0,0.00,0.0,0,0,29,4,-1024,-3,948,-205,869,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.250,0,0.0,0,0.00,0.0,0,0,69,4,-1024,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.350,0,0.0,0,0.00,0.0,0,0,4,4,-1024,-2,948,-205,869,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.450,0,0.0,0,0.00,0.0,0,0,21,4,-1024,-2,948,-205,870,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.550,0,0.0,0,0.00,0.0,0,0,-105,4,106,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.650,0,0.0,0,0.00,0.0,0,0,-49,4,257,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.750,0,0.0,0,0.00,0.0,0,0,2,4,-169,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.850,0,0.0,0,0.00,0.0,0,0,2,4,-300,-2,948,-205,869,0,0,753,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:47.950,0,0.0,0,0.00,0.0,0,0,2,4,-303,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.050,0,0.0,0,0.00,0.0,0,0,3,3,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.150,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.250,0,0.0,0,0.00,0.0,0,0,3,3,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.350,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.450,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.550,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.650,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.750,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.850,0,0.0,0,0.00,0.0,0,0,3,3,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:48.950,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.050,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.150,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.250,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.350,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.450,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.550,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.650,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.750,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.850,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:49.950,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.050,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.150,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.250,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.350,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.450,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.550,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.650,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.750,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.850,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:50.950,0,0.0,0,0.00,0.0,0,0,2,4,-304,-2,948,-205,870,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:51.050,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,756,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:51.230,0,0.0,0,0.00,0.0,0,0,3,3,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:51.380,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:52.850,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,870,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2020-05-31,21:11:52.950,0,0.0,0,0.00,0.0,0,0,3,4,-304,-2,948,-205,869,0,0,755,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
