Date,Time,RSSI(dB),RxBt(V),VFAS(V),Curr(A),RPM(rpm),Tmp1(@C),Tmp2(@C),RB1C(mAh),RB2C(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2000-01-01,01:23:20.460,86,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,0,-1024,614,1,-2,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:20.940,90,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,1,-1024,614,0,-1,-991,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:21.440,89,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:29.590,89,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:30.090,87,8.1,0.00,0.0,0,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:30.590,87,8.1,0.00,0.0,0,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:31.090,87,8.1,0.00,0.0,183,0,0,0,0,0,2,-1024,1,-1024,614,1,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:31.590,87,8.1,0.00,0.0,215,0,0,0,0,0,2,-1024,1,-1024,614,1,-1,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:32.090,87,8.1,0.00,0.0,243,0,0,0,0,0,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
2000-01-01,01:23:32.590,87,8.1,0.00,0.0,270,0,0,0,0,-1,2,-1024,1,-1024,614,0,-2,-992,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.2
