Date,Time,RSSI(dB),RxBt(V),RPM(rpm),FET(@C),Amps(A),mAh(mAh),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-05,12:04:52.070,82,8.1,0,29,0.0,0,24.66,87,4,131,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:52.570,84,8.1,0,29,0.0,0,24.67,5,5,128,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:53.080,78,8.1,0,29,0.0,0,24.68,4,5,128,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:53.590,91,8.1,135,29,0.0,0,24.69,4,5,128,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:54.100,86,8.1,212,29,0.0,0,24.69,4,5,128,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:54.610,79,8.1,253,29,0.0,0,24.69,4,5,128,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:55.120,94,8.1,281,29,0.0,0,24.69,4,5,128,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:55.630,84,8.1,310,29,0.0,0,24.69,4,5,144,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:56.140,88,8.1,351,29,0.0,0,24.58,3,4,147,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:56.650,93,8.1,436,29,0.0,0,24.62,4,8,183,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:57.160,92,8.1,499,29,0.0,0,24.58,4,11,171,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:57.680,85,8.1,558,30,0.0,0,24.58,79,23,171,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:58.190,76,8.1,630,30,0.0,0,24.58,4,38,171,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:58.700,94,8.1,696,31,0.0,0,24.55,4,5,171,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:59.210,91,8.1,761,31,0.0,0,24.56,4,5,171,-6,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:04:59.720,91,8.1,832,31,0.0,0,24.54,4,5,170,-7,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:00.240,91,8.1,889,32,0.0,0,24.53,4,5,170,-8,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:00.750,92,8.1,937,32,11.6,0,24.51,4,5,170,-8,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:01.260,90,8.1,993,32,0.7,0,24.51,4,5,249,14,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:01.770,90,8.1,1062,33,3.4,1,24.42,11,6,244,-4,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:02.280,91,8.1,1169,33,5.7,2,24.37,35,8,258,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:02.790,90,8.1,1284,33,10.4,3,24.26,41,24,277,22,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:03.300,89,8.1,1396,34,10.4,5,24.31,5,8,289,-4,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:03.820,88,8.1,1501,34,11.8,7,24.26,4,34,350,37,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:04.330,88,8.1,1606,34,13.3,9,24.14,67,40,392,-1,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:04.850,85,8.1,1678,35,17.1,11,24.08,73,9,438,11,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:05.360,92,8.1,1747,35,20.3,14,24.05,-27,4,417,-4,881,-205,532,-882,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:05.880,89,8.1,1847,36,23.2,20,23.99,-292,5,398,-6,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:06.400,86,8.1,1933,36,22.1,23,23.92,-118,48,353,-12,881,-205,532,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:06.910,79,8.1,1970,36,22.7,27,23.92,51,43,355,-9,881,-205,531,-880,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2019-12-05,12:05:07.450,81,8.1,2022,37,25.3,31,23.79,4,79,356,-2,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:07.990,75,8.1,2085,37,28.8,36,23.78,4,-37,362,-83,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:08.510,73,8.1,2181,37,30.8,41,23.70,4,4,357,-8,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:09.020,79,8.1,2238,37,24.1,45,23.74,4,0,314,-8,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:09.540,70,8.1,2253,38,23.5,49,23.77,4,-337,977,27,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:10.050,77,8.1,2140,38,63.5,61,22.96,-462,-486,-135,-62,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:10.570,88,8.0,2277,38,28.2,67,23.58,-940,-42,-569,137,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:11.080,83,8.0,2100,39,91.3,79,22.32,-369,132,-856,-76,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:11.600,73,8.0,2334,40,41.3,90,23.12,-383,-616,18,193,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:12.120,78,8.1,2398,41,22.9,93,23.54,-665,-156,631,-33,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:12.630,65,8.1,2205,41,43.7,99,22.72,-322,635,798,127,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:13.150,69,8.0,2291,41,32.3,111,23.12,-561,-580,-240,605,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:13.670,73,8.0,2246,42,53.3,117,23.04,-884,541,-135,-499,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:14.200,72,8.0,2231,42,28.5,123,23.26,-852,-27,741,398,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:14.720,73,8.1,2253,43,38.1,133,23.06,-1024,368,-56,-3,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:15.230,74,8.0,2293,43,23.5,138,23.29,-497,586,462,-821,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:15.750,82,8.0,2267,43,41.0,146,22.51,-248,-137,112,154,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:16.280,75,8.0,2331,43,22.7,151,23.34,-79,-27,-151,-1,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:16.800,73,8.1,2280,43,20.6,156,23.34,-42,-186,-243,-77,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:17.320,74,8.1,2230,44,34.0,162,23.17,-166,-236,-311,-90,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:17.840,73,8.1,2211,43,40.8,167,22.73,-616,426,-322,5,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:18.360,77,8.1,2287,44,30.0,175,23.31,-633,-3,192,-47,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:18.880,70,8.1,2286,44,23.5,179,23.30,-288,271,357,-12,881,-205,532,-882,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:19.400,73,8.1,2245,44,27.0,183,23.27,-106,405,501,-7,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:19.920,83,8.1,2203,44,43.4,189,22.93,-98,398,641,-85,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:20.440,83,8.1,2179,44,74.0,196,22.39,-777,107,894,-234,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:20.960,74,8.1,2233,44,66.7,211,22.05,-764,466,521,615,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:21.480,77,8.1,2372,45,18.3,217,23.16,-69,135,-274,32,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:22.000,76,8.1,2128,45,95.7,223,22.24,3,658,-740,-87,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:22.520,65,8.0,2274,46,58.6,243,21.76,4,76,517,9,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:23.040,70,8.0,2214,47,62.4,251,22.35,-84,-718,301,-3,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:23.560,69,8.0,2292,47,28.5,257,22.82,-601,390,5,-716,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:24.080,67,8.1,2318,48,20.6,263,23.06,-874,1,115,-14,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:24.600,69,8.1,2303,48,24.4,267,23.06,-979,177,118,-3,881,-205,532,-882,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:25.120,71,8.1,2300,47,29.1,271,23.04,5,-322,79,334,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:25.650,72,8.1,2300,47,19.7,275,23.16,-30,-273,273,30,881,-205,532,-882,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:26.170,74,8.1,2269,47,22.4,279,23.21,8,88,632,942,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:26.690,73,8.0,2224,47,49.5,287,22.40,4,51,42,254,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:27.210,80,8.0,2210,47,30.0,295,23.03,-701,-35,15,372,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:27.730,76,8.0,2303,47,23.2,299,23.11,-672,201,150,-406,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:28.250,82,8.1,2269,47,26.2,304,23.12,4,215,658,752,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:28.770,75,8.1,2187,47,56.5,314,22.54,4,133,74,765,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:29.290,77,8.1,2298,47,29.1,322,22.98,-10,10,-29,-6,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:29.820,78,8.1,2266,48,23.8,326,23.06,-608,95,-395,543,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:30.340,78,8.1,2234,48,21.5,332,23.02,-703,-1,132,-668,881,-205,531,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:30.860,85,8.0,2236,48,26.7,337,22.92,-124,282,441,534,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:31.380,71,8.0,2204,48,57.7,344,22.42,-124,9,217,887,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
2019-12-05,12:05:31.910,82,8.0,2285,48,31.1,353,22.98,-68,-328,-128,110,881,-205,532,-880,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,8.3
