Date,Time,RSSI(dB),RxBt(V),Volt(V),Amps(A),RPM(rpm),FET(@C),Cap(@C),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-01-29,16:27:32.340,108,8.0,0.00,0.0,0,0,0,0,-3,1,-1024,1,1024,-205,-10,0,0,997,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:28:06.840,105,8.1,0.00,0.0,0,0,0,0,-3,1,-1024,1,1024,-205,-10,0,0,995,1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:31:22.020,113,8.1,0.0,0,25,26,0,0,22.51,-2,1,-1024,1,1024,-205,-10,0,0,946,869,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:31:22.510,113,8.1,0.0,0,25,25,0,0,22.51,-2,1,-1024,1,1024,-205,-10,0,0,946,870,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:31:23.010,110,8.1,0.0,22,25,25,0,0,22.52,-2,1,-1024,1,1024,-205,-10,0,0,946,870,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:16.300,100,8.1,0.0,0,26,26,0,22.50,-2,1,-1024,1,1024,-205,-9,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:16.800,102,8.1,0.0,0,26,26,0,22.51,-2,1,-1024,2,1024,-205,-10,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:17.350,101,8.1,0.0,27,25,26,0,22.53,-2,1,-1024,2,1024,-205,-10,0,0,992,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:17.850,102,8.1,0.0,127,25,26,0,22.53,-3,1,-1024,2,1024,-205,-9,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:18.350,101,8.1,0.0,177,25,26,0,22.53,-2,1,-1024,2,1024,-205,-10,0,0,992,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:20.330,107,8.1,0.0,0,26,26,0,22.51,-3,1,-1024,2,1024,-205,-10,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:20.830,102,8.1,0.0,0,26,26,0,22.52,-2,0,-1024,2,1024,-205,-10,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:21.380,105,8.1,0.0,21,26,26,0,22.50,-2,1,-1024,2,1024,-205,-10,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:26.430,104,8.1,0.0,0,26,26,0,22.51,-3,1,-1024,2,1024,-205,-10,0,0,992,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2020-01-29,16:37:26.930,108,8.1,0.0,0,26,26,0,22.50,-3,0,-1024,2,1024,-205,-10,0,0,992,-4,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
