Date,Time,RSSI(dB),RxBt(V),mAh(mAh),Amps(A),RPM(rpm),Cap(@C),FET(@C),Volt(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-16,14:46:26.350,108,8.1,0,0.0,0,22,23,24.78,-7,-3,-1024,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:26.840,112,8.1,0,0.0,0,22,23,24.78,-7,-3,59,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:27.340,108,8.1,0,0.0,0,22,23,24.76,-7,-3,21,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:27.840,107,8.1,0,0.0,101,22,23,24.76,-5,-3,-42,4,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:28.340,107,8.1,0,0.0,202,22,23,24.76,-5,-3,-36,4,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:28.840,102,8.1,0,0.0,245,22,23,24.76,-5,10,-36,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:29.340,95,8.1,0,0.0,283,22,23,24.76,-5,50,-36,5,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:29.850,104,8.1,0,0.0,312,22,23,24.76,-5,76,-35,3,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:30.350,106,8.1,0,0.0,353,22,23,24.72,-5,0,-18,4,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:30.850,105,8.1,0,0.0,427,22,23,24.71,-5,3,-17,4,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:31.350,104,8.0,0,0.0,488,22,23,24.69,-5,28,-9,4,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:31.860,103,8.0,0,0.0,551,23,23,24.68,-5,4,-10,3,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:32.360,105,8.0,0,0.0,603,23,23,24.66,-5,-2,-17,4,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:32.860,105,8.0,0,0.0,655,24,23,24.65,-7,-2,-20,4,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:33.370,104,8.1,0,0.0,705,24,23,24.64,-5,0,-7,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:33.870,104,8.1,0,0.0,758,24,23,24.61,-5,33,-6,4,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:34.370,103,8.1,0,0.0,803,25,23,24.60,-5,32,71,33,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:34.880,103,8.0,0,0.0,831,25,23,24.61,33,9,80,56,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:35.380,103,8.0,0,0.0,871,25,23,24.61,-5,-2,97,5,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:35.880,105,8.0,1,6.6,922,26,23,24.55,-5,-3,110,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:36.380,102,8.1,2,6.3,1017,26,23,24.47,-5,0,112,9,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:36.890,102,8.1,4,9.8,1130,27,23,24.44,-5,-1,114,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:37.390,105,8.1,5,11.8,1233,27,23,24.39,-5,13,166,11,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:37.900,104,8.1,7,14.2,1333,27,23,24.33,-5,-1,172,5,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:38.400,103,8.1,10,16.2,1443,28,24,24.29,-5,34,254,61,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:38.910,102,8.0,13,19.1,1544,28,24,24.24,-2,17,312,4,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:39.420,102,8.0,16,22.9,1620,29,24,24.14,-5,49,375,21,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:39.920,98,8.0,20,22.4,1693,29,24,24.08,32,1,343,56,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:40.430,99,8.0,24,22.7,1775,30,24,24.07,81,-30,339,74,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:40.940,105,8.0,28,18.9,1799,31,24,24.07,121,-52,383,18,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:41.440,103,8.1,31,18.9,1806,31,24,24.06,124,-55,385,12,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:41.950,93,8.0,35,22.9,1806,31,24,24.08,138,-12,370,55,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:42.460,76,8.0,38,18.3,1823,32,24,24.08,-5,-3,346,37,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:42.960,91,8.0,41,18.0,1823,32,25,24.09,-5,-10,348,13,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:43.470,86,8.1,44,17.4,1806,32,25,24.12,-65,-5,338,5,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:43.970,76,8.1,47,18.6,1824,32,25,24.11,-345,-3,348,22,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:44.480,101,8.0,50,18.0,1817,32,25,24.12,-497,9,334,6,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:44.990,87,8.0,53,13.6,1808,32,25,24.14,-296,-1,321,4,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:45.490,94,8.0,56,16.5,1767,32,25,24.01,-7,-2,315,12,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:46.000,91,8.0,59,20.3,1777,33,25,24.00,-5,-5,345,79,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:46.510,93,8.1,62,20.0,1790,33,25,24.01,-5,29,323,-2,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:47.010,87,8.1,66,19.7,1803,33,26,24.01,-5,17,341,-36,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
2020-02-16,14:46:47.530,89,8.0,69,21.5,1800,33,26,23.98,-7,24,330,75,1024,1023,1013,0,0,583,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
2020-02-16,14:46:48.050,87,8.0,73,24.7,1853,33,26,23.90,-5,2,308,10,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
2020-02-16,14:46:48.570,89,8.0,78,32.6,1928,34,26,23.85,-5,-2,281,3,1024,1023,1013,0,0,585,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
