Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
1970-01-01,00:00:49.010,83,8.0,0.0,0,5,5,-1024,-4,1024,614,714,-1,-1,-1,0,0,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:03:50.580,80,8.0,0.0,0,5,5,-1024,-4,1024,614,1024,-2,-1,-1,-1,1,-1,1,-1,1,1,0x000000000000000C,7.6
1970-01-01,00:03:56.980,88,8.0,0.0,0,5,5,-1024,-4,1024,614,1024,-1,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:03:57.480,89,8.0,0.0,0,5,5,-1024,-4,1024,614,1024,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:03:57.980,90,8.0,0.0,0,5,5,-1024,-4,1024,614,1024,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:03:58.480,90,8.0,0.0,0,6,5,-1024,-4,1024,614,1024,-2,0,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:27.490,74,8.0,0.0,13,5,6,-1024,-4,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:27.980,80,8.0,0.0,13,76,6,-471,-4,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:28.480,79,8.0,0.0,14,4,6,-340,-4,1024,614,492,-2,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:28.980,79,8.0,0.0,52,5,2,-325,-8,1024,614,492,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:29.480,81,8.0,0.0,117,10,12,-326,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:29.980,83,8.0,0.0,108,5,6,-307,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:30.480,81,8.0,0.0,58,5,6,-287,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:30.980,81,8.0,0.0,66,6,6,-287,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:31.480,81,8.0,0.0,111,6,6,-287,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:31.980,80,8.0,0.0,107,6,5,-271,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:32.480,80,8.0,0.0,105,6,6,-267,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:32.980,80,8.0,0.0,102,6,6,-265,-7,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:33.480,80,8.0,0.0,102,6,6,-263,-6,1024,614,492,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:33.980,79,8.0,0.0,124,6,6,-260,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:34.480,80,8.0,0.0,161,4,8,-205,-6,1024,614,492,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:34.980,82,8.0,0.0,211,6,6,-201,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,7.6
1970-01-01,00:05:35.480,82,8.0,0.0,268,6,6,-201,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,7.6
1970-01-01,00:05:35.980,81,8.0,0.0,324,6,6,-200,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,7.6
1970-01-01,00:05:36.480,79,8.0,0.0,373,6,5,-164,-4,1024,614,492,0,-3,-1,-1,1,-1,-1,-1,1,1,0x0000000000000009,7.6
1970-01-01,00:05:36.980,82,8.0,0.0,402,6,6,-153,-6,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:37.480,83,8.0,0.0,444,6,6,-127,-7,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:37.980,80,8.0,0.0,469,4,5,-102,-4,1024,614,492,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.6
1970-01-01,00:05:38.480,81,8.0,0.0,504,6,18,-13,-4,1024,614,492,-2,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:38.980,81,8.0,0.0,521,6,6,-2,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:39.480,81,8.0,0.0,534,-51,6,3,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:39.980,81,8.0,0.0,580,6,6,21,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:40.480,82,8.0,0.0,633,6,8,305,-2,1024,614,492,-1,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:40.980,83,8.0,0.0,608,5,6,230,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:41.480,81,8.0,0.0,564,4,26,116,-7,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:41.980,80,8.0,0.0,523,5,10,107,-7,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:42.480,81,8.0,0.0,497,8,6,97,-6,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:42.980,84,8.0,0.0,507,5,6,88,-6,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:43.480,82,8.0,0.0,538,6,6,74,-6,1024,614,492,-2,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:43.980,83,8.0,0.0,661,6,12,78,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:44.480,83,8.0,0.0,732,6,6,126,-2,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:44.980,83,8.0,0.0,885,6,6,238,-4,1024,614,492,-2,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:45.480,82,8.0,0.0,984,-68,6,227,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:45.980,81,8.0,0.0,1143,5,6,223,-4,1024,614,492,-1,-1,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:46.480,79,8.0,0.0,1330,-9,3,239,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:46.980,81,8.0,0.0,1442,5,32,295,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:47.480,79,8.0,0.0,1503,5,5,391,0,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:47.980,80,8.0,0.0,1525,6,38,414,-6,1024,614,492,-2,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:48.480,78,8.0,0.0,1583,6,11,467,-4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:48.980,71,8.0,0.0,1606,6,89,368,4,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:49.480,78,8.0,0.0,1615,6,29,397,-7,1024,614,492,-1,-3,-1,-1,1,-1,0,-1,1,-1,0x000000000000000A,7.6
1970-01-01,00:05:49.980,78,8.0,0.0,1637,4,-17,441,-47,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:50.490,79,8.0,0.0,1675,-209,28,373,-81,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:50.990,78,8.0,0.0,1685,-218,-51,407,-6,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
1970-01-01,00:05:51.490,85,8.0,0.0,1687,-221,48,404,-14,1024,614,492,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.6
