Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-04-21,10:21:35.420,90,8.1,0.0,0,-2,0,-1024,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:35.520,90,8.1,0.0,0,-2,0,-1024,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:35.620,90,8.1,0.0,0,-2,0,-1024,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:35.720,78,8.1,0.0,0,-2,0,-791,2,1024,-1024,379,0,0,898,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:35.820,78,8.1,0.0,0,-51,0,-392,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:35.920,78,8.1,0.0,0,-36,-1,-325,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.020,78,8.1,0.0,0,-2,0,-361,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.120,78,8.1,0.0,0,-2,0,-365,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.220,87,8.1,0.0,0,-2,0,-366,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.320,87,8.1,0.0,0,-2,0,-367,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.420,87,8.1,0.0,0,-2,0,-367,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.520,87,8.1,0.0,0,-2,0,-367,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.620,83,8.1,0.0,0,-2,0,-367,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.720,83,8.1,0.0,0,-1,-1,-367,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.820,83,8.1,0.0,0,-1,0,-367,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:36.920,83,8.1,0.0,0,-2,0,-367,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.020,83,8.1,0.0,10,-2,0,-367,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.120,77,8.1,0.0,42,-2,0,-367,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.220,77,8.1,0.0,42,-2,0,-367,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.320,77,8.1,0.0,55,0,0,-469,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.420,77,8.1,0.0,55,-1,0,-471,49,1024,-1024,379,0,0,901,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.520,80,8.1,0.0,75,-1,61,-471,801,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.620,80,8.1,0.0,100,1,32,-471,787,1024,-1024,379,0,0,901,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.720,80,8.1,0.0,100,0,-1,-471,-99,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.820,80,8.1,0.0,113,-1,-1,-472,-629,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:37.920,85,8.1,0.0,113,-1,28,-472,-428,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.020,85,8.1,0.0,133,-1,-18,-471,157,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.120,85,8.1,0.0,154,-1,1,-471,103,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.220,85,8.1,0.0,154,0,28,-438,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.320,85,8.1,0.0,172,-1,5,-323,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.420,85,8.1,0.0,172,-1,2,-245,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.520,85,8.1,0.0,188,-1,1,-227,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.620,85,8.1,0.0,221,-1,0,-224,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.720,85,8.1,0.0,221,-1,0,-204,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.820,87,8.1,0.0,234,-278,0,-185,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:38.920,87,8.1,0.0,234,-350,0,-185,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.020,87,8.1,0.0,268,5,0,-185,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.120,87,8.1,0.0,283,201,1,-163,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.220,87,8.1,0.0,283,381,0,-161,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.320,90,8.1,0.0,318,98,1,-111,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.420,90,8.1,0.0,318,-139,0,-91,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.530,90,8.1,0.0,316,-117,0,-91,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.630,90,8.1,0.0,308,-8,1,-90,2,1024,-1024,379,0,0,898,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.730,88,8.1,0.0,308,14,0,-90,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.830,88,8.1,0.0,355,-1,0,-90,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:39.930,88,8.1,0.0,355,-1,0,-91,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.030,88,8.1,0.0,401,-1,1,37,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.130,89,8.1,0.0,401,119,4,617,2,1024,-1024,379,0,0,898,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.230,89,8.1,0.0,442,22,2,648,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.330,89,8.1,0.0,439,-1,1,297,3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.430,89,8.1,0.0,439,-1,1,48,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.530,89,8.1,0.0,470,-2,1,-39,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.630,88,8.1,0.0,470,-2,1,-43,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.730,88,8.1,0.0,470,-2,0,-45,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.830,88,8.1,0.0,486,-16,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:40.930,88,8.1,0.0,486,-30,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.030,88,8.1,0.0,510,-11,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.130,88,8.1,0.0,510,-5,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.230,88,8.1,0.0,529,-3,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.330,88,8.1,0.0,549,-2,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.430,81,8.1,0.0,549,-2,0,-46,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.530,81,8.1,0.0,554,-1,0,-46,1,1024,-1024,379,0,0,898,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.630,81,8.1,0.0,554,-2,0,-46,1,1024,-1024,379,0,0,898,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.730,81,8.1,0.0,605,-3,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.830,81,8.1,0.0,629,-3,0,-46,-12,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:41.930,88,8.1,0.0,629,-2,0,-46,-7,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.030,88,8.1,0.0,653,-2,0,-46,-3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.130,88,8.1,0.0,653,-1,0,-46,-1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.230,88,8.1,0.0,665,-2,2,-46,-7,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.330,84,8.1,0.0,665,-2,2,-46,-7,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.430,84,8.1,0.0,726,-1,1,-46,-3,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.530,84,8.1,0.0,728,-1,0,-46,-1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.630,84,8.1,0.0,728,-2,0,-46,0,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.730,84,8.1,0.0,754,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.830,89,8.1,0.0,772,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:42.940,89,8.1,0.0,772,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.040,89,8.1,0.0,812,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.140,89,8.1,0.0,812,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.240,86,8.1,0.0,843,-1,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.340,86,8.1,0.0,870,-1,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.440,86,8.1,0.0,870,-1,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.540,86,8.1,0.0,902,-1,1,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.640,87,8.1,0.0,902,-2,0,-46,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.740,87,8.1,0.0,964,-2,0,-31,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.840,87,8.1,0.0,1003,-18,0,-1,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:43.940,87,8.1,0.0,1003,-15,0,3,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.040,87,8.1,0.0,1016,-2,0,4,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.140,84,8.1,0.0,1016,-70,0,4,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.240,84,8.1,0.0,1063,-157,0,5,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.340,84,8.1,0.0,1118,-10,0,5,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.440,84,8.1,0.0,1118,-5,1,5,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.540,85,8.1,0.0,1165,-3,4,5,0,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.640,85,8.1,0.0,1165,-2,3,5,0,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.740,85,8.1,0.0,1208,-2,1,5,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.840,85,8.1,0.0,1221,-2,1,5,1,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
2020-04-21,10:21:44.940,85,8.1,0.0,1221,-2,0,5,2,1024,-1024,379,0,0,900,446,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000001,7.6
