Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-12-06,18:00:43.800,83,24.70,0.3,0,8,8,-581,-8,919,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:44.320,79,24.70,0.9,0,8,8,-6,-7,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:44.830,86,24.70,1.3,0,8,9,-238,-8,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:45.350,91,24.70,1.3,215,8,10,-239,-8,919,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:45.870,92,24.70,1.3,370,8,9,-238,-7,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:46.400,92,24.60,1.6,502,8,20,-248,-9,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:46.920,88,24.60,2.0,622,8,10,-241,-10,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:47.430,90,24.60,2.5,732,8,12,-212,-10,919,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:47.960,91,24.50,2.9,832,8,8,-101,-7,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:48.480,89,24.50,3.2,938,-76,9,-80,0,918,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:49.000,89,24.50,3.7,1078,6,16,-59,-7,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:49.520,90,24.50,3.9,1219,6,9,-19,-7,919,204,-323,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:50.050,92,24.30,6.1,1396,-12,9,7,7,918,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:50.570,92,24.30,7.0,1595,-28,10,110,-7,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:51.100,91,24.20,8.3,1810,-34,19,174,-12,919,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:51.620,92,24.10,9.5,1880,-235,9,212,-22,919,204,-323,-2,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:52.140,83,24.10,10.4,2043,-238,17,185,-35,919,204,-324,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:52.670,89,24.00,11.3,2157,-76,9,179,-39,918,204,-323,-1,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,7.9
2019-12-06,18:00:53.210,82,23.90,12.3,2266,37,14,129,33,919,204,-324,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:53.750,85,23.80,13.1,2382,6,9,138,23,919,204,-323,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:54.290,82,23.80,14.1,2480,8,-18,103,-7,919,204,-323,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:54.830,84,23.70,14.3,2613,6,-20,101,-7,919,204,-323,-2,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:55.380,77,23.70,14.4,2686,6,33,85,-72,919,204,-323,-1,-1,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:55.900,80,23.60,15.7,2759,6,36,71,-25,919,204,-323,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:56.430,85,23.50,15.8,2834,8,46,85,-19,919,204,-323,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:56.960,77,23.50,15.4,2863,8,-170,359,54,919,204,-323,-1,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
2019-12-06,18:00:57.490,86,21.30,32.2,2598,6,-577,388,6,919,204,-323,-2,-3,-1,-1,1,-1,1,-1,1,-1,0x000000000000000C,7.9
