Date,Time,RSSI(dB),Volt(V),Amps(A),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-02-01,12:54:49.090,99,24.50,0.4,0,4,8,-294,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:49.580,87,24.50,0.3,0,4,8,-348,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:50.120,94,24.50,0.9,15,4,8,-349,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:50.670,101,24.40,1.3,160,4,8,-348,-6,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:51.170,100,24.40,1.4,358,4,8,-348,-6,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:51.720,103,24.40,1.8,496,62,6,-205,-4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:52.260,100,24.40,2.1,621,4,16,-32,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:52.760,98,24.40,2.6,734,4,6,-32,-6,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:53.310,101,24.30,2.9,855,4,8,-1,-6,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:53.860,99,24.30,3.3,959,-24,18,4,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:54.400,100,24.20,3.9,1136,2,6,34,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:54.900,100,24.20,4.2,1233,-49,9,46,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:55.400,98,24.00,5.9,1414,9,8,49,33,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:55.940,99,23.90,7.0,1684,5,40,106,10,1024,-205,205,0,0,-1017,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:56.440,99,23.80,8.1,1858,4,56,147,-16,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:56.980,101,23.70,8.7,2010,4,6,189,4,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:57.480,98,23.60,9.5,2131,4,-12,208,31,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:58.030,100,23.50,10.5,2246,4,38,240,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:58.580,93,23.30,11.4,2340,4,-77,246,3,1024,-205,204,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:59.120,97,23.20,12.4,2434,-162,-53,301,-1,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:54:59.620,96,23.30,10.9,2487,-308,-53,205,-7,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:00.120,87,23.40,10.2,2507,-331,-77,231,1,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:00.670,87,23.30,10.6,2492,-550,-84,271,-42,1024,-205,205,0,0,-1016,909,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:01.210,96,23.30,10.8,2493,-453,-56,261,-7,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:01.710,82,23.30,11.6,2466,8,-44,265,-12,1024,-205,204,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:02.260,77,23.30,11.5,2467,4,-126,333,-9,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:02.810,83,23.10,11.9,2492,5,44,238,38,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:03.350,89,23.30,11.0,2505,38,8,213,-6,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:03.850,85,23.30,10.9,2528,62,28,238,11,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:04.350,92,23.30,10.1,2517,4,10,305,-4,1024,-205,205,0,0,-1016,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:04.900,94,22.70,22.2,2211,-15,-808,48,-4,1024,-205,204,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
2020-02-01,12:55:05.440,86,22.50,19.1,2365,-889,28,-874,-65,1024,-205,205,0,0,-1014,908,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000009,8.3
