Date,Time,RSSI(dB),RxBt(V),A2(V),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-26,09:46:27.230,88,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.270,88,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.370,88,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.470,88,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.690,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.790,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.890,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:27.990,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:28.200,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:28.300,89,7.9,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:28.690,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:28.830,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.050,89,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.150,89,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.250,89,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.350,89,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.560,90,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.660,90,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.760,90,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.860,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:29.960,87,8.0,0.0,1,2,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.100,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.240,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.340,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.440,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.540,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.640,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.740,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.840,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:30.940,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.040,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.140,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.240,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.340,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.440,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.540,87,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.640,88,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.740,88,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.850,88,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:31.950,88,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.050,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.150,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.250,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.350,86,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.450,92,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.550,92,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.650,92,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.750,92,8.0,0.0,1,2,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.850,92,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:32.950,84,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-26,09:46:33.050,84,8.0,0.0,1,3,-1024,0,1024,-205,-75,0,0,-1014,-1024,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
