Date,Time,RSSI(dB),RxBt(V),A2(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-08-08,13:25:02.770,87,7.9,0.0,512,-2,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:02.810,87,7.9,0.0,541,-2,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:02.910,87,7.9,0.0,541,-3,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.010,87,7.9,0.0,532,-3,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.110,87,7.9,0.0,532,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.210,87,7.9,0.0,544,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.310,87,7.9,0.0,537,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.410,87,7.9,0.0,537,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.510,87,7.9,0.0,562,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.610,91,7.9,0.0,562,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.710,91,7.9,0.0,540,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.810,91,7.9,0.0,553,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:03.910,91,7.9,0.0,553,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.010,90,7.9,0.0,629,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.110,90,7.9,0.0,629,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.210,90,7.9,0.0,650,-3,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.310,90,7.9,0.0,642,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.410,90,7.9,0.0,642,-3,-2,54,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.510,91,7.9,0.0,650,-3,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.610,91,7.9,0.0,650,-3,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.710,91,7.9,0.0,627,-2,-2,55,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.810,91,7.9,0.0,691,-2,-2,129,3,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:04.910,90,7.9,0.0,691,-3,-2,133,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.010,90,7.9,0.0,678,-3,-2,136,5,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.110,90,7.9,0.0,678,-3,-3,136,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.210,90,7.9,0.0,699,-3,-59,136,21,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.310,87,7.9,0.0,699,-3,-11,136,7,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.410,87,7.9,0.0,725,-3,-3,136,5,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.510,87,7.9,0.0,710,26,-2,136,20,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.610,87,7.9,0.0,710,83,0,140,41,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.710,87,7.9,0.0,743,100,0,145,13,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.810,88,7.9,0.0,743,99,0,147,7,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:05.910,88,7.9,0.0,757,100,-1,147,5,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.010,88,7.9,0.0,711,162,-1,148,5,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.110,88,7.9,0.0,711,163,-1,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.210,91,7.9,0.0,753,83,-1,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.310,91,7.9,0.0,729,-7,-1,147,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.410,91,7.9,0.0,729,-4,-1,147,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.510,91,7.9,0.0,756,-3,-1,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.610,91,7.9,0.0,756,64,-2,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.710,89,7.9,0.0,754,79,-2,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.810,89,7.9,0.0,811,95,-1,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:06.910,89,7.9,0.0,811,96,-2,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:07.010,89,7.9,0.0,787,35,-1,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
2020-08-08,13:25:07.110,92,7.9,0.0,787,0,-2,148,4,1024,-205,386,0,0,-1021,-3,-1,-1,1,-1,0,-1,1,-1,0x0000000000000000,7.5
