Date,Time,RSSI(dB),RxBt(V),RPM(rpm),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-09-04,09:31:36.070,84,8.1,638,-1,1,-1024,0,1024,204,99,0,0,-880,-1013,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.120,84,8.1,638,-1,1,-1024,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.220,85,8.1,664,-2,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.320,85,8.1,664,-4,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.450,85,8.1,659,-2,1,-1024,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.550,85,8.1,643,-1,1,-1024,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.650,85,8.1,643,-1,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.750,85,8.1,652,-1,1,-978,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.850,85,8.1,652,-1,1,-896,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:36.950,85,8.1,663,-1,1,-832,1,1024,204,100,0,0,-879,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.050,86,8.1,663,-1,1,-942,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.150,86,8.1,758,-2,1,-1024,0,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.250,86,8.1,715,-3,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.350,86,8.1,715,-2,1,-832,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.450,86,8.1,613,-1,1,-942,0,1024,204,99,0,0,-879,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.550,85,8.1,759,-2,1,-938,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.650,85,8.1,759,-2,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.750,85,8.1,693,-1,1,-824,1,1024,204,100,0,0,-879,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.850,85,8.1,693,-1,1,-885,0,1024,204,99,0,0,-879,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:37.950,85,8.1,753,-1,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.050,85,8.1,663,-2,1,-976,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.150,85,8.1,663,-1,1,-745,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.250,85,8.1,764,-2,1,-1004,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.350,85,8.1,764,-1,1,-1005,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.450,85,8.1,692,-64,1,-793,0,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.550,85,8.1,821,-51,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.650,85,8.1,821,-57,1,-828,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.750,85,8.1,663,-27,1,-1024,0,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.850,85,8.1,663,-54,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:38.950,85,8.1,680,-35,1,-1024,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:39.050,85,8.1,680,-3,1,-1024,1,1024,204,100,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:39.150,85,8.1,653,-2,1,-1024,1,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:31:39.250,86,8.1,654,13,1,-1024,0,1024,204,99,0,0,-880,-1014,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.320,87,8.1,642,3,1,-1024,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.410,87,8.1,642,1,1,-1024,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.510,87,8.1,736,0,1,-1024,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.610,87,8.1,621,-1,1,-1024,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.720,87,8.1,621,-1,1,-1024,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.860,87,8.1,673,0,1,-898,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:04.960,87,8.1,650,-1,1,-879,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.060,87,8.1,650,-1,1,-804,-1,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.170,87,8.1,779,-1,1,-758,-1,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.310,86,8.1,833,-1,1,-758,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.410,86,8.1,833,-1,0,-758,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.510,86,8.1,827,-1,0,-758,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.620,86,8.1,855,-1,1,-758,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.760,86,8.1,855,-1,1,-758,0,1024,204,100,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.860,86,8.1,822,-1,1,-758,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:05.960,86,8.1,823,14,-13,-758,1,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:06.070,86,8.1,823,0,0,-758,1,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
2020-09-04,09:32:06.210,86,8.1,830,-1,2,-758,0,1024,204,99,0,0,-880,-1024,-1,-1,1,-1,-1,-1,1,1,0x0000000000000000,8.1
